siteCode,SiteDescription,System,River,DoE_StationCode,latitude,longitude,routeMeasure,riverMile,substrate,flow,gaging,elevation_ft,surroundings,waterbodyID,locationType,beneficalUse,waterbodySize_mi2,watershedArea_mi2,ecoregion,county,Notes
A,Cedar R @ Logan St/Renton,river,Cedar,08C070,47.4857,-122.209,20.72,1,Gravel,Yes,Routed,15,urban,WA-08-1143,bridge,core/prim/6,19.5,186,Puget Lowland,King,
B,Green R @ Tukwila,river,Green,09A080,47.4654,-122.2479,10.593,12.4,Cobble/Soft,Yes,Route/RP,4,industrial,WA-09-1020,bridge,spawn/prim/0,0,440,Puget Lowland,King,
C,Nooksack R @ Brennan,river,Nooksack,01A050,48.819,-122.58,5.862,3.4,Soft Bottom,Yes,Routed,10,farming,WA-01-1010,bridge,core/prim/0,28.2,790,Puget Lowland,Whatcom,
D,Bertrand Cr @ Rathbone Rd,river,Bertrand,01N060,48.924,-122.5299,1.705,1.7,,,,20,farming,WA-01-1110,other,,,,,,
E,Samish R nr Burlington,river,Samish,03B050,48.5458,-122.3382,13.815,10.4,Cobble/Sandy,Yes,Staff,38,farming,WA-03-2010,bridge,core/prim/0,31.1,88,Puget Lowland,Skagit,
F,Skagit R nr Mount Vernon,river,Skagit,03A060,48.4451,-122.3352,12.308,15.9,Soft Bottom,Yes,Continuous,14,suburban,WA-03-1010,bridge,core/prim/0,25.6,3093,Puget Lowland,Skagit,
G,Stillaguamish R nr Silvana,river,Stillguamish,05A070,48.1969,-122.2101,22.06,11.1,Sandy/Mud,Yes,WWG,35,farming,WA-05-1010,bridge,spawn/prim/7,17.8,557,Puget Lowland,Snohomish,
H,Snohomish R @ Snohomish,river,Snohomish,07A090,47.9106,-122.0988,18.795,12.7,Soft Bottom,Yes,Routed,8,urban,WA-07-1020,bridge,spawn/prim/0,5.3,1714,Puget Lowland,Snohomish,
I,Duckabush R nr Brinnon,river,Duckabush,16C090,47.684,-123.0116,7.761,4.5,Cobble,Yes,GH,300,forest,WA-16-3010,bridge,core/extra/15,,66,Coast Range,Jefferson,
J,Puyallup R @ Meridian,river,Puyallup,10A070,47.2026,-122.2937,9.287,8.3,Gravel,Yes,Routed,30,farming,WA-10-1020,bridge,core/prim/0,9.4,940,Puget Lowland,Pierce,
K,Nisqually R @ Nisqually,river,Nisqually,11A070,47.062,-122.6964,3.873,3.4,Sandy,Yes,Staff,20,rural,WA-11-1010,bridge,core/prim/15,,712,Puget Lowland,Thurston,
L,Skokomish R nr Potlatch,river,Skokomish,16A070,47.3098,-123.1771,6.874,5.3,Gravel,Yes,Routed,60,rural,WA-16-1010,bridge,core/extra/15,,227,Puget Lowland,Mason,
M,Deschutes R @ E St Bridge,river,Deschutes,13A060,47.0118,-122.9032,1.565,0.6,Gravel/Cobble,Yes,WWG,93,rural,WA-13-1010,bridge,spawn/prim/0,,161,Puget Lowland,Thurston,
N,Green R @ Kanaskat,river,Green,09A190,47.3193,-121.8935,83.819,57.6,Bedrock,Yes,Routed,775,rural,WA-09-1030,bridge,core/extra/15,22.2,230,Puget Lowland,King,
O,Cedar R nr Landsburg,river,Cedar,08C110,47.3913,-121.9205,60.587,25.1,Boulder/Cobble,Yes,Routed,616,forest,WA-08-1150,bank,core/extra/6,16.1,122,Puget Lowland,King,
P,Snoqualmie R @ Snoqualmie,river,Snoqualmie,07D130,47.5269,-121.8121,66.909,42.3,Cobble,Yes,Routed,400,forest,WA-07-1100,bridge,core/prim/0,19.5,375,Puget Lowland,King,
Q,Snoqualmie R @ Monroe,river,Snoqualmie,07D050,47.8037,-122.0028,4.709,2.7,Soft Bottom,Yes,WWG/RP,15,farming,WA-07-1060,bridge,spawn/prim/0,24.9,688,Puget Lowland,Snohomish,
R,Skykomish R @ Monroe,river,Skykomish,07C070,47.8521,-121.9592,8.488,25.6,Cobble/Boulders,Yes,WWG D/S,43,,WA-07-1160,bank,core/prim/15,13.9,834,Puget Lowland,Snohomish,
S,SF Stillaguamish R nr Granite Falls,river,SF Stillguamish,05A110,48.1028,-121.9532,27.526,34.6,Bedrock/Gorge,Yes,Routed,290,,WA-05-1050,bridge,core/extra/0,36.8,119,Puget Lowland,Snohomish,
T,SF Stillaguamish R @ Arlington,river,SF Stillguamish,05A090,48.2007,-122.119,0.699,18.2,Bedrock/Cobble,Yes,WWG,55,farming,WA-05-1040,bridge,core/prim/15,15.9,255,Puget Lowland,Snohomish,
U,NF Stillaguamish R @ Cicero,river,NF Stillguamish,05B070,48.2673,-122.0131,15.937,9.5,Cobble,Yes,Routed,110,forest,WA-05-1020,bridge,core/prim/14,31.2,262,Puget Lowland,Snohomish,
V,NF Stillaguamish R nr Darrington,river,NF Stillguamish,05B110,48.28,-121.7024,48.767,30,Grvl/Sand/Bdrck,Yes,RP,435,rural,WA-05-1020,bridge,char/prim/14,31.2,82,Cascades,Snohomish,
W,Skagit R @ Marblemount,river,Skagit,04A100,48.5268,-121.429,112.102,78.2,Cobble,Yes,Routed,360,forest,WA-04-1090,bridge,core/extra/10,10.9,1260,Cascades,Skagit,
X,Nooksack R @ No Cedarville,river,Nooksack,01A120,48.8416,-122.2936,49.803,30.8,Cobble/Boulder,Yes,Routed,140,rural,WA-01-1020,bridge,core/prim/15,8.4,596,Puget Lowland,Whatcom,
Y,Bertrand @ 0 Ave,river,Bertrand,01N100,49.0023,-122.5194,,10,,,,100,farming,WA-01-1110,other,,,,,,
Z,Elwha @ Port Angeles,river,Elwah,18B070,48.0654,-123.5777,12.214,8.1,Gravel/Sandy,Yes,Route,220,forest,WA-18-2010,bridge,core/extra/0,,294,Coast Range,Clallam,
a,South of Admiralty Inlet,marine,,ADM,48.03,-122.6167,,,,,,,,,,,,,,,
b,Bellingham Bay,marine,,BLL,48.6867,-122.5983,,,,,,,,,,,,,,,
c,Elliot Bay,marine,,ELB,47.5967,-122.3683,,,,,,,,,,,,,,,
d,Puget Sound Basin,marine,,PSB,47.66,-122.4417,,,,,,,,,,,,,,,
e,Possession Sound,marine,,PSS,48.0117,-122.3,,,,,,,,,,,,,,,
f,Saratoga Passage,marine,,SAR,48.1083,-122.49,,,,,,,,,,,,,,,
g,Totten Inlet,marine,,TOT,47.165,-122.9633,,,,,,,,,,,,,,,
AA,Sammamish R @ Bothell,river,Lake Washington,08B070,47.7587,-122.2038,,20.4,Cravel/Sandy,Yes,Routed,15,urban,WA-08-1070,bridge,core/extra/0,,212,Puget Lowland,King,Oct 14 only
AB,Sammamish R @ NE 145th St.,river,Lake Washington,08B090,47.7329,-122.1457,,,,,,25,urban,,bridge,core/extra/0,,,Puget Lowland,King,2014 water year only
AC,Sammamish R @ Redmond,river,Lake Washington,08B110,47.6705,-122.1277,,13.4,Cobble/Soft,Yes,RP,25,urban,WA-08-1090,other,core/extra/0,,148,Puget Lowland,King,2014 water year only
AD,Mercer Slough nr Bellevue,river,Lake Washington,08D070,47.5818,-122.1859,,0.2,,,,17,,WA-08-2100,other,core/extra/0,,12,Puget Lowland,King,Oct 14 & Aug 15 only
AE,Thornton Cr nr mouth,river,Lake Washington,08H070,47.6959,-122.2754,,0.3,,,,25,urban,WA-08-1020,other,core/extra/6,,,Puget Lowland,King,2014 water year only
AF,Mercer Slough @ 118th Ave SE,river,Lake Washington,08D090,47.6016,-122.1848,92.35424,,,,,25,urban,,bank,core/extra/0,,,Puget Lowland,King,2014 water year only
BA,Bertrand Cr @ 6.5,river,Bertrand,,,,,6.5,,,,,,,,,,,,,
BB,Bertrand Cr @ 2.5,river,Bertrand,,,,,2.5,,,,,,,,,,,,,
BC,Bertrand Cr @ 3.9,river,Bertrand,,,,,3.9,,,,,,,,,,,,,
