Washington, Climate Division 3, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1900-1999
Date,Value,Anomaly
197002,44.3,3.4
197102,40.5,-0.4
197202,39.9,-1.0
197302,42.1,1.2
197402,41.2,0.3
197502,39.2,-1.7
197602,39.9,-1.0
197702,45.1,4.2
197802,43.8,2.9
197902,39.5,-1.4
198002,42.4,1.5
198102,42.6,1.7
198202,40.5,-0.4
198302,44.9,4.0
198402,43.3,2.4
198502,38.1,-2.8
198602,41.1,0.2
198702,44.6,3.7
198802,42.8,1.9
198902,34,-6.9
199002,38.4,-2.5
199102,46.4,5.5
199202,45.6,4.7
199302,39.6,-1.3
199402,39,-1.9
199502,43.5,2.6
199602,41.2,0.3
199702,41.8,0.9
199802,44.7,3.8
199902,41.8,0.9
200002,42.4,1.5
200102,39.7,-1.2
200202,41.3,0.4
200302,41.3,0.4
200402,43.3,2.4
200502,41.4,0.5
200602,40.2,-0.7
200702,43,2.1
200802,42.2,1.3
200902,40.2,-0.7
201002,45,4.1
201102,38.1,-2.8
201202,41.9,1.0
201302,42.3,1.4
201402,38.3,-2.6
