"siteCode","WsAreaOver1000"
"A",0.000614628149969269
"B",0.185933806146572
"C",0.290877910428072
"E",0.0200647249190939
"F",0.608880559359908
"G",0.173529671104841
"H",0.334076299383015
"I",0.600169061707523
"J",0.430182185033529
"K",0.165385797725177
"L",0.19841460485227
"M",0.00819672131147541
"N",0.353352901332129
"O",0.00193798449612403
"P",0.387830687830688
"Q",0.297571949422077
"R",0.467317914092803
"S",0.172117039586919
"T",0.159745538080933
"U",0.232365145228216
"V",0.256569847856155
"W",0.767917248173385
"X",0.396155228171038
"Z",0.185933806146572
"ZA",0
