"siteCode","WsSlope"
"A",5.00658827190069
"B",9.9429532785814
"C",14.5258870824492
"E",11.8678651970893
"F",23.4505468808979
"G",14.1303105209116
"H",15.6998116338622
"I",27.5072090184595
"J",14.6277901575249
"K",8.3640764467134
"L",15.4327791556135
"M",6.79823312215901
"N",15.7464240969882
"O",8.11265065518804
"P",18.3298499924317
"Q",15.5757769754679
"R",19.2145803514849
"S",17.0903824547269
"T",13.4933429508748
"U",16.7441171589867
"V",18.1307884562489
"W",25.7035585649258
"X",19.230622196516
"Z",22.8010796382633
"ZA",5.29813938062507
