Site code,DoE ID,Description,Lat.,Long.,Site elev. (m),Area (km^2),BFI,Elev. (m),Rip. imp. surfaces (%),Rip. Urb. 2011 (%),Rip. road dens. (km/km^2),Runoff (mm/mo.),Bedrock dep. (cm),Water table dep. (cm),Soil perm. (cm/hr),Pop. dens (people/km^2),Dammed,Aspect (degree),Slope (% rise),Area > 1000 m (%),Perennial ice (%)
C,01A050,Nooksack R @ Brennan,48.8,-122.6,3.0,2046.2,58.4,674.5,1.2,2.2,1.4,1714.2,139.3,127.2,9.0,26.9,no,269.1,5.0,0.0,0.0
X,01A120,Nooksack R @ No Cedarville,48.8,-122.3,42.7,1542.7,58.7,868.2,0.6,0.8,1.2,1715.1,136.6,137.1,7.2,5.4,no,257.9,9.9,0.2,0.0
R,07C070,Skykomish R @ Monroe,47.9,-122.0,13.1,1986.9,56.4,904.6,1.0,2.1,1.1,2605.6,133.1,143.8,9.3,11.1,no,277.5,14.5,0.3,1.8
P,07D130,Snoqualmie R @ Snoqualmie,47.5,-121.8,121.9,946.6,58.3,897.8,1.4,2.5,2.0,2087.7,135.8,153.4,16.5,18.3,no,243.0,11.9,0.0,0.0
B,09A080,Green R @ Tukwila,47.5,-122.2,1.2,1115.7,61.1,546.2,4.3,8.2,3.9,1169.4,140.8,134.6,12.3,148.8,yes,295.6,23.5,0.6,2.2
J,10A070,Puyallup R @ Meridian,47.2,-122.3,9.1,2439.4,61.5,921.0,2.3,4.5,1.7,1204.2,145.8,144.4,12.2,48.2,no,295.1,14.1,0.2,0.1
M,13A060,Deschutes R @ E St Bridge,47.0,-122.9,28.3,408.5,59.4,288.2,2.1,3.5,2.9,1261.1,139.8,157.0,17.1,70.4,no,317.2,15.7,0.3,0.2
Z,18B070,Elwha @ Port Angeles,48.1,-123.6,67.1,757.1,60.4,1088.6,0.1,0.0,0.2,1599.4,118.3,175.0,7.0,1.0,yes,323.4,27.5,0.6,4.4
W,04A100,Skagit R @ Marblemount,48.5,-121.4,109.7,3601.1,65.3,1349.2,0.5,1.1,0.2,1806.4,132.1,150.4,6.5,0.3,yes,253.8,14.6,0.4,3.0
F,03A060,Skagit R nr Mount Vernon,48.4,-122.3,4.3,8035.1,61.3,1128.3,0.6,1.2,0.6,1998.6,133.5,145.3,7.5,5.6,partial,260.8,15.4,0.2,0.6
G,05A070,Stillaguamish R nr Silvana,48.2,-122.2,10.7,1456.7,52.0,604.1,0.9,1.6,1.3,2563.9,139.8,126.9,7.4,19.6,no,261.5,6.8,0.0,0.0
T,05A090,SF Stillaguamish R @ Arlington,48.2,-122.1,16.8,657.0,52.0,625.2,1.1,1.9,1.4,2557.2,137.6,129.5,6.9,23.4,no,280.1,15.7,0.4,0.0
S,05A110,SF Stillaguamish R nr Granite Falls,48.1,-122.0,88.4,308.1,54.9,768.7,0.7,1.1,1.0,2545.0,134.5,137.1,6.8,9.4,no,276.0,8.1,0.0,0.0
U,05B070,NF Stillaguamish R @ Cicero,48.3,-122.0,33.5,667.4,53.1,665.5,0.6,1.0,1.0,2568.8,140.5,127.9,7.2,5.2,no,272.5,18.3,0.4,0.1
V,05B110,NF Stillaguamish R nr Darrington,48.3,-121.7,132.6,222.5,57.4,714.2,0.5,0.7,1.1,2562.5,138.2,134.1,6.4,3.7,no,254.4,15.6,0.3,0.1
H,07A090,Snohomish R @ Snohomish,47.9,-122.1,2.4,4449.9,57.2,688.4,1.7,3.5,1.9,2255.7,137.2,135.0,10.9,38.0,no,277.8,19.2,0.5,0.3
L,16A070,Skokomish R nr Potlatch,47.3,-123.2,18.3,591.7,52.3,608.8,0.5,0.3,1.4,1900.0,112.6,143.0,7.3,2.7,partial,139.2,17.1,0.2,0.1
I,16C090,Duckabush R nr Brinnon,47.7,-123.0,91.4,178.6,54.3,1047.5,0.1,0.0,0.2,1993.8,95.7,172.8,4.7,1.0,no,87.4,13.5,0.2,0.1
E,03B050,Samish R nr Burlington,48.5,-122.3,11.6,225.3,52.8,268.0,2.4,5.3,1.8,1546.0,143.2,118.4,12.0,29.2,no,252.7,16.7,0.2,0.2
A,08C070,Cedar R @ Logan St/Renton,47.5,-122.2,4.6,457.1,61.3,611.3,2.9,5.5,3.4,1238.8,143.0,135.1,14.2,81.6,yes,290.6,18.1,0.3,0.3
O,08C110,Cedar R nr Landsburg,47.4,-121.9,187.8,310.3,59.0,808.3,0.7,0.5,2.6,1239.9,141.1,139.2,10.4,4.3,yes,271.3,25.7,0.8,2.5
AA,08B070,Sammamish R @ Bothell,47.8,-122.2,4.6,559.8,64.2,147.2,14.6,29.0,6.6,1264.4,143.2,124.1,20.6,529.7,no,339.4,19.2,0.4,2.3
Q,07D050,Snoqualmie R @ Monroe,47.8,-122.0,4.6,1779.7,58.6,638.1,1.6,3.1,2.6,2097.9,139.4,136.8,13.8,33.1,no,270.5,22.8,0.2,4.0
N,09A190,Green R @ Kanaskat,47.3,-121.9,236.2,659.1,59.4,822.2,0.8,0.9,3.1,1165.0,135.5,152.4,7.7,5.0,yes,284.9,5.3,0.0,0.0
