Site code,DoE ID,RS,Description,Lat.,Long.,Site elev.,Elev.,Area,Area over 1000 m,Slope,Dammed
A,08C070,RD,Cedar R @ Logan St/Renton,47.5,-122.2,4.6,611.3,457.1,0.3,18.1,yes
B,09A080,SD,Green R @ Tukwila,47.5,-122.2,1.2,546.2,1115.7,0.6,23.5,yes
C,01A050,RD,Nooksack R @ Brennan,48.8,-122.6,3,674.5,2046.2,0,5,no
E,03B050,SD,Samish R nr Burlington,48.5,-122.3,11.6,268,225.3,0.2,16.7,no
F,03A060,RS,Skagit R nr Mount Vernon,48.4,-122.3,4.3,1128.3,8035.1,0.2,15.4,partial
G,05A070,RS,Stillaguamish R nr Silvana,48.2,-122.2,10.7,604.1,1456.7,0,6.8,no
H,07A090,SD,Snohomish R @ Snohomish,47.9,-122.1,2.4,688.4,4449.9,0.5,19.2,no
I,16C090,SD,Duckabush R nr Brinnon,47.7,-123,91.4,1047.5,178.6,0.2,13.5,no
J,10A070,RS,Puyallup R @ Meridian,47.2,-122.3,9.1,921,2439.4,0.2,14.1,no
L,16A070,RD,Skokomish R nr Potlatch,47.3,-123.2,18.3,608.8,591.7,0.2,17.1,partial
M,13A060,RS,Deschutes R @ E St Bridge,47,-122.9,28.3,288.2,408.5,0.3,15.7,no
N,09A190,RS,Green R @ Kanaskat,47.3,-121.9,236.2,822.2,659.1,0,5.3,yes
O,08C110,RS,Cedar R nr Landsburg,47.4,-121.9,187.8,808.3,310.3,0.8,25.7,yes
P,07D130,RS,Snoqualmie R @ Snoqualmie,47.5,-121.8,121.9,897.8,946.6,0,11.9,no
Q,07D050,RS,Snoqualmie R @ Monroe,47.8,-122,4.6,638.1,1779.7,0.2,22.8,no
R,07C070,RS,Skykomish R @ Monroe,47.9,-122,13.1,904.6,1986.9,0.3,14.5,no
S,05A110,RS,SF Stillaguamish R nr Granite Falls,48.1,-122,88.4,768.7,308.1,0,8.1,no
T,05A090,RS,SF Stillaguamish R @ Arlington,48.2,-122.1,16.8,625.2,657,0.4,15.7,no
U,05B070,RS,NF Stillaguamish R @ Cicero,48.3,-122,33.5,665.5,667.4,0.4,18.3,no
V,05B110,SD,NF Stillaguamish R nr Darrington,48.3,-121.7,132.6,714.2,222.5,0.3,15.6,no
W,04A100,SD,Skagit R @ Marblemount,48.5,-121.4,109.7,1349.2,3601.1,0.4,14.6,yes
X,01A120,SD,Nooksack R @ No Cedarville,48.8,-122.3,42.7,868.2,1542.7,0.2,9.9,no
Z,18B070,RD,Elwha @ Port Angeles,48.1,-123.6,67.1,1088.6,757.1,0.6,27.5,yes
ZA,08B070,RS,Sammamish R @ Bothell,47.8,-122.2,4.6,147.2,559.8,0.4,19.2,no
